2026-05-11 17:05:12 | INFO     | src.test_design.black_box.boundary_value:generate:27 - BVA生成: REQ-001 - 用户注册表单验证
2026-05-11 17:05:12 | INFO     | src.test_design.black_box.boundary_value:generate:27 - BVA生成: REQ-001 - 用户注册表单验证
2026-05-11 17:05:12 | INFO     | src.test_design.black_box.boundary_value:generate:27 - BVA生成: REQ-NOBOUND - 无边界
2026-05-11 17:05:12 | INFO     | src.test_design.black_box.boundary_value:generate:33 - BVA: 需求REQ-NOBOUND没有数值边界字段，跳过
2026-05-11 17:05:12 | INFO     | src.test_design.black_box.equivalence_partition:generate:31 - EP生成: REQ-001 - 用户注册表单验证
2026-05-11 17:05:12 | INFO     | src.test_design.black_box.equivalence_partition:generate:31 - EP生成: REQ-001 - 用户注册表单验证
2026-05-11 17:05:12 | INFO     | src.test_design.black_box.equivalence_partition:generate:31 - EP生成: REQ-EMPTY - 空需求
2026-05-11 17:05:12 | INFO     | src.export.json_exporter:export:61 - JSON导出: TS-001, 2个用例
2026-05-11 17:05:12 | INFO     | src.export.json_exporter:export:61 - JSON导出: TS-001, 2个用例
2026-05-11 17:05:12 | INFO     | src.export.csv_exporter:export:64 - CSV导出: TS-001, 2个用例
2026-05-11 17:05:12 | INFO     | src.export.excel_exporter:export:67 - Excel导出: test_artifacts.xlsx, 1个套件
2026-05-11 17:05:12 | INFO     | src.optimization.risk_based_optimizer:optimize:33 - 风险优化: TS-001, 预算=1.0
2026-05-11 17:05:12 | INFO     | src.optimization.risk_based_optimizer:optimize:56 - 优化结果: 2 → 2个用例
2026-05-11 17:05:12 | INFO     | src.optimization.risk_based_optimizer:optimize:33 - 风险优化: TS-001, 预算=0.5
2026-05-11 17:05:12 | INFO     | src.optimization.risk_based_optimizer:optimize:56 - 优化结果: 2 → 1个用例
2026-05-11 17:05:12 | INFO     | src.optimization.risk_based_optimizer:optimize:33 - 风险优化: TS-001, 预算=1.0
2026-05-11 17:05:12 | INFO     | src.optimization.risk_based_optimizer:optimize:56 - 优化结果: 2 → 2个用例
2026-05-11 17:05:12 | INFO     | src.optimization.coverage_optimizer:optimize:32 - 覆盖优化: TS-001, 目标覆盖率=1.0
